ProductID,ProductName,Category
P0000,Toys Item 0,Clothing
P0001,Clothing Item 1,Electronics
P0002,Books Item 2,Electronics
P0003,Clothing Item 3,Electronics
P0004,Clothing Item 4,Electronics
P0005,Home Item 5,Toys
P0006,Books Item 6,Books
P0007,Books Item 7,Books
P0008,Books Item 8,Electronics
P0009,Clothing Item 9,Books
P0010,Toys Item 10,Books
P0011,Books Item 11,Electronics
P0012,Beauty Item 12,Books
P0013,Clothing Item 13,Clothing
P0014,Home Item 14,Home
P0015,Toys Item 15,Home
P0016,Beauty Item 16,Electronics
P0017,Beauty Item 17,Toys
P0018,Home Item 18,Electronics
P0019,Toys Item 19,Toys
P0020,Clothing Item 20,Home
P0021,Electronics Item 21,Electronics
P0022,Toys Item 22,Beauty
P0023,Home Item 23,Clothing
P0024,Beauty Item 24,Books
P0025,Clothing Item 25,Toys
P0026,Toys Item 26,Beauty
P0027,Electronics Item 27,Books
P0028,Electronics Item 28,Books
P0029,Books Item 29,Electronics
P0030,Books Item 30,Books
P0031,Home Item 31,Clothing
P0032,Toys Item 32,Beauty
P0033,Toys Item 33,Books
P0034,Beauty Item 34,Electronics
P0035,Beauty Item 35,Clothing
P0036,Beauty Item 36,Home
P0037,Books Item 37,Beauty
P0038,Toys Item 38,Books
P0039,Toys Item 39,Electronics
P0040,Electronics Item 40,Home
P0041,Books Item 41,Home
P0042,Clothing Item 42,Toys
P0043,Books Item 43,Clothing
P0044,Clothing Item 44,Books
P0045,Electronics Item 45,Electronics
P0046,Home Item 46,Toys
P0047,Toys Item 47,Clothing
P0048,Electronics Item 48,Toys
P0049,Toys Item 49,Beauty
P0050,Beauty Item 50,Clothing
P0051,Home Item 51,Clothing
P0052,Home Item 52,Books
P0053,Electronics Item 53,Clothing
P0054,Home Item 54,Toys
P0055,Clothing Item 55,Clothing
P0056,Home Item 56,Books
P0057,Toys Item 57,Books
P0058,Toys Item 58,Beauty
P0059,Toys Item 59,Toys
P0060,Toys Item 60,Home
P0061,Clothing Item 61,Home
P0062,Books Item 62,Clothing
P0063,Beauty Item 63,Beauty
P0064,Electronics Item 64,Electronics
P0065,Toys Item 65,Clothing
P0066,Home Item 66,Beauty
P0067,Toys Item 67,Toys
P0068,Home Item 68,Toys
P0069,Beauty Item 69,Toys
P0070,Beauty Item 70,Toys
P0071,Beauty Item 71,Toys
P0072,Home Item 72,Beauty
P0073,Toys Item 73,Beauty
P0074,Beauty Item 74,Books
P0075,Clothing Item 75,Home
P0076,Home Item 76,Toys
P0077,Home Item 77,Electronics
P0078,Toys Item 78,Beauty
P0079,Home Item 79,Electronics
P0080,Home Item 80,Electronics
P0081,Beauty Item 81,Electronics
P0082,Toys Item 82,Books
P0083,Beauty Item 83,Beauty
P0084,Beauty Item 84,Electronics
P0085,Toys Item 85,Toys
P0086,Electronics Item 86,Clothing
P0087,Beauty Item 87,Electronics
P0088,Clothing Item 88,Books
P0089,Clothing Item 89,Beauty
P0090,Home Item 90,Books
P0091,Clothing Item 91,Electronics
P0092,Home Item 92,Beauty
P0093,Electronics Item 93,Clothing
P0094,Toys Item 94,Electronics
P0095,Toys Item 95,Books
P0096,Toys Item 96,Home
P0097,Clothing Item 97,Toys
P0098,Electronics Item 98,Books
P0099,Clothing Item 99,Beauty
